Nom,Prenom,Titre,Anne,dimx,dimy,Couleur,End
el,elie,the h,2001,25,30,bleu,End
CHUNG,Hugo,Le,2002,25,45,,End
el,elie,the h,2003,25,30,bleu,End
CHUNG,Hugo,Le,2004,25,45,,End
el,elie,the h,2005,25,30,bleu,End
CHUNG,Hugo,Le,2006,25,45,,End
el,elie,the h,2007,25,30,bleu,End
CHUNG,Hugo,Le,2008,25,45,,End
el,elie,the h,2009,25,30,bleu,End
CHUNG,Hugo,Le,2010,25,45,,End
el,elie,the h,2011,25,30,bleu,End
CHUNG,Hugo,Le,2012,25,45,,End
el,elie,the h,2013,25,30,bleu,End
CHUNG,Hugo,Le,2014,25,45,,End
el,elie,the h,2015,25,30,bleu,End
CHUNG,Hugo,Le,2016,25,45,,End
el,elie,the h,2017,25,30,bleu,End
